"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAOUHSC_00001",8176.57456396525,-0.44585555763173,0.0586194382813539,-7.60593364084743,2.82854403910634e-14,1.21765997472963e-13
"SAOUHSC_00002",11767.0980959278,-0.511614640830271,0.0614256038510096,-8.32901280174981,8.15192525985156e-17,4.07081404555114e-16
"SAOUHSC_00003",571.447482984369,0.137579902904818,0.121474820605358,1.13257959319637,0.257390842333609,0.319148498701161
"SAOUHSC_00004",5789.21161643946,0.304677752475086,0.0560994977828073,5.43102459944766,5.60314092371566e-08,1.60709193120357e-07
"SAOUHSC_00005",9764.96737353314,0.0514942684196901,0.0561461853915367,0.917146339695095,0.359065961139844,0.425426803108746
"SAOUHSC_00006",16933.0386929937,-0.0539398238010906,0.0524687382488414,-1.02803737237347,0.303932248265334,0.368383900299117
"SAOUHSC_00007",1291.85312756248,0.18933922372544,0.0844341619433179,2.2424480727664,0.0249324278113033,0.0396644659747896
"SAOUHSC_00008",205.935817025029,-1.7123570339557,0.156209846600706,-10.9619020261426,5.82618168247494e-28,4.54595491803636e-27
"SAOUHSC_00009",18373.9079915947,-0.19005242955119,0.0563194530439858,-3.37454324001971,0.000739382992168923,0.00146640172025475
"SAOUHSC_00010",415.049081005349,-0.425808529396454,0.106330763328187,-4.00456571615317,6.21315177565957e-05,0.000136206987170652
"SAOUHSC_00012",493.907226424575,-0.706810157049426,0.105527538441559,-6.69787400983354,2.11473462769125e-11,7.71715467212868e-11
"SAOUHSC_00013",149.023718817994,0.2628738893839,0.176842216232798,1.486488322663,0.137150003324782,0.185051085259603
"SAOUHSC_00014",3480.10658074669,0.768504190979484,0.0684613747029267,11.2253689662856,3.06106070012256e-29,2.50530570264305e-28
"SAOUHSC_00015",12567.7062203821,0.384985504014343,0.0572807337120616,6.72102955156939,1.80444989876157e-11,6.60517771583712e-11
"SAOUHSC_00017",2232.70497427712,0.169337750353937,0.0821693261423442,2.06083898096704,0.0393184042310533,0.0598608824364945
"SAOUHSC_00018",11231.040298523,0.18510884981146,0.0596331875722787,3.10412468874146,0.00190842884015114,0.00360700654090718
"SAOUHSC_00019",1662.53555636754,1.86659006105621,0.0787949555021644,23.6892076296044,4.65847180155046e-124,2.08488587042975e-122
"SAOUHSC_T00018",3.80330176292237,0.599842306593658,1.13147237747426,0.530143129019783,0.596012698131663,0.659394645507605
"SAOUHSC_00020",4862.174040628,0.21010053912927,0.0661727294297146,3.17503208557278,0.00149819934114386,0.00286822343599131
"SAOUHSC_00021",16499.9603574414,-0.105405379462012,0.0495773787963314,-2.12607810297974,0.0334967568452769,0.0518631248283269
"SAOUHSC_00022",11725.3355054955,-0.0190708590286526,0.0533676762064716,-0.357348499771103,0.720830926005619,0.770163350617445
"SAOUHSC_00023",4316.4893521016,-0.0990007074119571,0.0639302303609109,-1.54857423245716,0.121484104174366,0.166236133254174
"SAOUHSC_00024",1617.51290825704,0.818385298512523,0.0732214507050628,11.176851737191,5.29346665305978e-29,4.28535935189686e-28
"SAOUHSC_00025",1784.24992236307,-1.34884736880426,0.072758192037413,-18.5387697389549,1.00494320913038e-76,2.59100575223614e-75
"SAOUHSC_00071",198.278089114093,0.73849428621924,0.145545130287454,5.07398828638721,3.89563047265367e-07,1.05484423300622e-06
"SAOUHSC_00072",91.9286723132604,0.107352814679764,0.220397552953047,0.487087144305246,0.626196576354412,0.685119132432041
"SAOUHSC_00074",152.882292728438,0.178414031925222,0.164973051300075,1.08147379538188,0.279486411050575,0.342782713036176
"SAOUHSC_00075",22.6923301934429,2.97923715807344,0.535211701713633,5.56646491198634,2.59959097268749e-08,7.69667697553903e-08
"SAOUHSC_00076",52.8768679609988,2.19515235330439,0.309568363145961,7.09100998240374,1.33136740015643e-12,5.27212599861613e-12
"SAOUHSC_00077",102.367495264703,1.96318781701769,0.217879170981713,9.01044284394888,2.05226087159962e-19,1.17018336236401e-18
"SAOUHSC_00078",95.3333172187416,1.93337104980453,0.229401019645318,8.42790957421964,3.51894813453658e-17,1.78353525109418e-16
"SAOUHSC_00079",158.36541866988,1.69486253413125,0.186665145065557,9.07969473109726,1.08879793489911e-19,6.28376813036664e-19
"SAOUHSC_00080",308.940804261225,1.26645014452279,0.145469717707332,8.70593663397864,3.14962783659106e-18,1.69025276660497e-17
"SAOUHSC_00081",130.201106384942,1.23283749421036,0.181019484232226,6.81052373692979,9.72440655245124e-12,3.62108200037902e-11
"SAOUHSC_00082",222.601416472723,0.908180460087291,0.140635386895132,6.45769517997981,1.06309597036376e-10,3.71926790811628e-10
"SAOUHSC_00083",162.857248517809,1.09814137244519,0.162262312748835,6.76769210201628,1.30852850415699e-11,4.84216788121746e-11
"SAOUHSC_00085",397.352748064416,-0.506801645019888,0.115760939146462,-4.37800218931083,1.19772147668475e-05,2.83532469330962e-05
