"locus_tag","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","product"
"SAOUHSC_00094",8970.38282563604,-4.54055048764504,0.104090136220667,-43.6213329380151,0,0,NA,"hypothetical protein"
"SAOUHSC_00187",82972.3756435127,-3.48213204341961,0.0710331622819426,-49.0212167325234,0,0,NA,"formate acetyltransferase"
"SAOUHSC_00188",15699.6462773985,-3.3406972349054,0.0782799411189605,-42.6762870174954,0,0,NA,"pyruvate formate-lyase 1 activating enzyme"
"SAOUHSC_00356",1391.20140727305,3.73793005044125,0.0940936877770758,39.7256196323929,0,0,NA,"hypothetical protein"
"SAOUHSC_00544",2724.16272571941,-3.39023409124011,0.0797431383181145,-42.5144302412034,0,0,NA,"fibrinogen-binding protein SdrC"
"SAOUHSC_00561",1992.1222774786,-3.87331683368978,0.0915641896506525,-42.3016557943423,0,0,NA,"hypothetical protein"
"SAOUHSC_00634",31296.5088916772,-3.35078380589699,0.0713148985962989,-46.9857473242048,0,0,NA,"ABC transporter substrate-binding protein"
"SAOUHSC_00636",22325.8089215603,-3.03213329074058,0.0649763330480567,-46.66519559511,0,0,NA,"iron (chelated) ABC transporter permease"
"SAOUHSC_00660",11676.9935076651,3.00104809949589,0.0716880164568341,41.8626187167967,0,0,NA,"hypothetical protein"
"SAOUHSC_00898",9912.00460838832,-2.99485874791443,0.05665018230586,-52.865827187367,0,0,NA,"argininosuccinate lyase"
"SAOUHSC_00899",6157.03865604779,-3.11773491324024,0.0801210542187862,-38.9128044262455,0,0,NA,"argininosuccinate synthase"
"SAOUHSC_00923",3607.80658935648,-2.71147414328298,0.0658895717181277,-41.1517949286805,0,0,NA,"hypothetical protein"
"SAOUHSC_00924",8899.71259605379,-3.11763191731481,0.064681388678545,-48.1998296729355,0,0,NA,"hypothetical protein"
"SAOUHSC_00925",7544.70996388647,-3.14644829127853,0.0682005379035672,-46.1352415684386,0,0,NA,"hypothetical protein"
"SAOUHSC_00927",10806.0675311551,-3.16579674236341,0.0672371305831232,-47.084054820716,0,0,NA,"oligopeptide ABC transporter substrate-binding protein"
"SAOUHSC_01991",4300.75744383326,-3.79816622986289,0.072584805941946,-52.3272905475658,0,0,NA,"ABC transporter permease"
"SAOUHSC_02119",5829.06719675363,-3.2102388457801,0.0611442187273213,-52.5027371777613,0,0,NA,"high affinity proline permease"
"SAOUHSC_02333",10656.3643822773,9.39915421368099,0.169231448858151,55.5402336687393,0,0,NA,"transglycosylase SceD"
"SAOUHSC_02990",28525.6707031297,-2.99669739115431,0.0560992952963645,-53.4177368061968,0,0,NA,"hypothetical protein"
"SAOUHSC_01053",5631.73907926036,-2.21216001625155,0.057587554693897,-38.4138557021591,7.90505033345994e-323,9.37736595806686e-321,NA,"manganese transport protein MntH"
"SAOUHSC_00637",14157.6646293249,-2.78260247702033,0.0728377221023477,-38.202766323614,2.53346981874474e-319,2.86161438687442e-317,NA,"hypothetical protein"
"SAOUHSC_01990",2169.50140084357,-3.57231673392005,0.0951909035323207,-37.5279212756618,3.2290424326665e-308,3.4814948410386e-306,NA,"amino acid ABC transporter ATP-binding protein"
"SAOUHSC_00499",3372.82025163575,-2.66618722468546,0.0727292667875994,-36.6590692089867,3.28098856879784e-294,3.3836977761689e-292,NA,"pyridoxal biosynthesis lyase PdxS"
"SAOUHSC_01919",4876.56129698012,-3.31628754711151,0.0938274905837907,-35.344519249931,1.21710647300196e-273,1.2029068974836e-271,NA,"hypothetical protein"
"SAOUHSC_00844",2427.98282245656,-2.39626051883534,0.0683834242474878,-35.0415403323909,5.24605971499097e-269,4.97746145758343e-267,NA,"hypothetical protein"
"SAOUHSC_00545",131461.416791532,-2.16874498678435,0.0626449986391005,-34.6196030632637,1.28119363076922e-262,1.16884280468638e-260,NA,"fibrinogen-binding protein SdrD"
"SAOUHSC_02703",7108.73784331452,-2.3722134882357,0.0700753758156052,-33.8523120372254,3.35574511192231e-251,2.94808422425175e-249,"gpmA","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"
"SAOUHSC_00926",3054.24827395846,-3.12283008127492,0.0936935265828639,-33.3302651225648,1.40738824610535e-243,1.19225889991496e-241,NA,"oligopeptide ABC transporter ATP-binding protein"
